candidate_id,education_school,education_speciality,education_level,education_degree,experience_years,language,language_level,technical_skills,soft_skills,current_position,location,location_available,certifications_title,hobbies,volunteer_activities,school_projects,availability
16852973,"Jefferson College, Sainte Genevieve Senior High","['Business Administration', 'Marketing/Advertising', 'College Prep Studies']",,,15.0,[],[],"['Medical Billing', 'Medical Terminology', 'Data Analysis', 'Accounting', 'Human Resources', 'Marketing', 'Public Relations', 'Customer Service', 'Office Management', 'Web Design', 'Graphic Design', 'Social Media Management']","['Team Management', 'Conflict Resolution', 'Training and Development', 'Multi-tasking', 'Client Relations', 'Customer Satisfaction', 'Leadership', 'Performance Assessment', 'Analytical Thinking', 'Organization', 'Problem-Solving']",HR Administrator/Marketing Associate,"City, State",[],"['Missouri DOT Supervisor Training Certification', 'IHG Certification in Customer Loyalty and Marketing by Segment', 'Hilton Worldwide General Manager Training Certification']",[],[],[],Not Mentioned
22323967,"Sacred Heart University, Western Connecticut State University","['Corporate Communication & Public Relations', 'Relational Communication']","Master's, Bachelor's","Master of Arts, Bachelor of Arts",10.0,[],[],"['Adobe Photoshop', 'ADP', 'Asset Management', 'branding', 'brochures', 'content creation', 'Customer Care', 'Final Cut Pro', 'graphics', 'HR', 'Illustrator', 'InDesign', 'Innovation', 'inventory management', 'Lotus Notes', 'marketing', 'marketing materials', 'Microsoft Office', 'SharePoint', 'newsletter design', 'presentation skills', 'process improvement', 'Project Management', 'promotional materials', 'publications', 'Quality Assurance', 'real-time systems', 'Recruitment', 'RFP', 'sales', 'storytelling', 'Employee Development', 'video production', 'web design', 'website development']","['communication', 'collaboration', 'leadership', 'problem-solving', 'time management', 'creativity']","HR Specialist, US HR Operations","City, State",[],[],[],['SHU Media Exchange - Senior Producer'],[],Immediate
33176873,Friends University,"['Information Management Systems', 'Organizational Management']","Master's Degree, Bachelor's Degree","Master of Science, Bachelor of Science",20.0,[],[],"['Recruiting', 'HRIS Development', 'Benefit Administration', 'Policy Development', 'Web Page Development', 'Desktop Publishing', 'Newsletter Productions', 'Database Management', 'Leadership Training', 'OSHA', 'FMLA', 'Workers Compensation', 'PageMaker', 'Agency Automation', 'Benefits', 'Budget Management', 'Corel Suite', 'Harvard Graphics', 'Access', 'Excel', 'Microsoft Publisher', 'MS Word', 'Quark Express', 'Quattro Pro', 'Strategic Planning', 'Web Development', 'WordPerfect']","['Outside-the-box thinking', 'Project Management', 'Team Leadership', 'Communication', 'Problem-Solving']",HR Director,"City, State, United States",[],[],[],"['Topeka Chamber of Commerce Ambassador', 'Kansas Hospital Association - Health Care Human Resources Member', 'SHRM - Legislative Liaison']","[""Adjutant General's Retention Research Project"", 'Local Website for Healthcare Facility', 'HRIS Database for Employee Records']",Not specified
27018550,Texas A&M Extension Services,['Business Administration'],Certificate,Certificate of Completion,20.0,[],[],"['Microsoft Word', 'Microsoft Excel', 'Microsoft Access', 'Microsoft Outlook', 'Microsoft PowerPoint', '10-Key by touch', 'Typing (50 wpm)']","['Customer service', 'Teamwork', 'Conflict resolution', 'Communication', 'Process management', 'Personnel management']",HR Specialist,"City, State",[],[],[],[],[],Not specified
17812897,,[],,,,[],[],[],[],,,[],[],[],[],[],
11592605,"Montclair State University, Essex County College, New York Institute of Technology","['Justice Studies', 'Psychology', 'Human Resource Management']","Bachelor's, Associate's","BA, AS, Paralegal Program Certification",14.0,[],[],"['Microsoft Office', 'Excel', 'Outlook', 'PowerPoint', 'Word', 'Visio', 'HRIS', 'Visa processing', 'USCIS regulations', 'Database management', 'Website maintenance', 'Newsletter creation', 'Report writing', 'Dictation', 'Filing', 'Event planning', 'Travel arrangements', 'Training program development', 'Conference organization']","['Time management', 'Attention to detail', 'Results-oriented', 'Self-directed', 'Self-starter', 'Professionalism', 'Maturity', 'Legal administrative support', 'Communication', 'Teamwork', 'Problem-solving', 'Customer service', 'Leadership', 'Supervision']",HR Generalist,"City, State, USA",[],"['SHRM Essentials of Human Resource Management', 'ABA Approved Paralegal Program Certification']",[],"['Volunteer Coordinator', 'Student Advisor', 'Secretary']",[],Immediate
25824789,TEXAS WOMAN'S UNIVERSITY,['Sociology'],Bachelor's,Bachelor of Science,20.0,"['English', 'Spanish']","['Advanced', 'Native']","['HRIS', 'Microsoft Office Suites', 'Publisher', 'InDesign', 'Quark', 'RedDot', 'Sharepoint', 'PeopleSoft']","['Leadership Development', 'Coaching', 'Training', 'Team Building', 'Conflict Resolution', 'Advocacy', 'Employee Relations', 'Organizational Development', 'Project Management', 'Performance Management', 'Web Design', 'Newsletter Management', 'Event Planning', 'Staff Development', 'Teaching', 'Translation', 'Customer Service', 'Workplace Safety']",HR Manager,"City, State","['City, State']",[],"['5k Runs/Walks', 'Guest Speaking', 'Professional Development']","['Society for Human Resource Management (SHRM)', 'North Texas Society for Human Resource Management (NTSHRM)', 'Texas Higher Education in Human Resources Association (THEHRA)', 'International TEFL and TESOL Training membership (ittt)', 'Denton High School Girls Softball Association']","['TWU and THEHRA conferences', 'Online State Mandated Training for TWU employees']",Immediate
15375009,"University of Phoenix, Notre Dame de Namur University","['Business Management', 'Human Resources']",Master's,"Master of Business Administration, Master of Science in Human Resources",14.0,[],[],"['HRIS', 'payroll processing', 'employee relations', 'recruitment', 'job analysis', 'policy development', 'benefits administration', 'labor relations', 'HR policies', 'staff training', 'employee handbooks', 'process improvement', 'project management', 'ADP', 'database management', 'compliance', 'employment law', 'vendor management', 'safety training', 'compensation', 'workplace auditing', 'orientation programs', 'strategic HR']","['team building', 'communication', 'problem-solving', 'liaison', 'customer service', 'quality assurance', 'process improvement', 'leadership', 'organizational skills', 'time management', 'attention to detail', 'interpersonal skills']",HR Manager,"City, State, USA",[],[],[],[],[],Not specified
11847784,NC State University,"['English Literature', 'Language']",Bachelor's,Bachelor of Arts,15.0,[],[],"['E-Recruitment', 'Outlook', 'Micro-soft applications (Word, Excel, PowerPoint)']","['Management consultation', 'Negotiation', 'Problem-solving', 'Change management', 'Budget negotiation', 'Customer service', 'Training development and delivery']",HR Specialist,"City, State, US","['City, State, US']",[],[],[],[],Not specified
32896934,"['SHRM', 'University of Phoenix', 'Blue Ridge Community College']","['Human Resources', 'Business Management', 'HR Management']","[""Bachelor's Degree"", 'Associates Degree']",BSM/HRM,20.0,[],[],"['HR', 'Human Resources', 'accounts payable', 'bookkeeping', 'A/P', 'General Ledger', 'payroll', 'purchasing', 'invoicing', 'financial', 'research', 'reporting', 'administrative support', 'administrative', 'secretarial', 'clerical', 'interpretation', 'meetings', 'scheduling', 'coordination', 'supervision', 'employee relations', 'recruitment', 'benefits administration', 'benefits', 'compensation', 'safety', 'databases', 'database management', 'timekeeping', 'employee management', 'legal', 'MRP', 'Continuous Improvement', 'Lean Manufacturing', 'Six Sigma', 'Business Strategy']",[],HR Clerk,"City, State",[],"['SHRM-CP Certification', 'SHRM Essentials of HR Management']",[],[],[],Immediate
